id,date,time,spicy,cold,coffee,soda,alcohol,mlik,water,greens,lactobacillus
kairos,2019-08-02,19:02,1,0,0,0,0,0,0,0,0
kairos,2019-08-02,19:29,0,1,0,0,1,0,0,0,0
kairos,2019-08-03,22:00,0,1,0,0,1,0,0,0,0
kairos,2019-08-03,0:30,0,0,0,0,0,0,0,0,0
kairos,2019-08-03,13:00,2,0,0,0,0,0,0,0,0
kairos,2019-08-03,15:00,0,0,0,0,0,0,0,0,0
kairos,2019-08-04,9:00,0,0,0,0,0,0,0,0,0
kairos,2019-08-04,15:00,0,1,0,0,0,0,0,0,0
kairos,2019-08-04,18:35,0,0,0,1,0,0,0,0,0
kairos,2019-08-04,21:00,0,0,0,0,0,0,0,0,0
kairos,2019-08-05,9:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-05,13:00,0,0,0,0,0,0,0,0,0
kairos,2019-08-05,21:00,1,0,0,0,0,0,0,0,0
kairos,2019-08-06,10:00,0,0,0,0,0,0,0,0,0
kairos,2019-08-06,13:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-06,19:00,1,0,0,0,0,0,0,0,0
kairos,2019-08-07,21:00,0,0,0,0,0,0,0,0,0
kairos,2019-08-07,9:30,0,1,1,0,0,0,0,0,0
kairos,2019-08-07,12:45,0,0,0,0,0,0,0,0,0
kairos,2019-08-07,19:00,1,0,0,0,0,0,700,0,0
kairos,2019-08-08,7:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-08,10:00,0,0,0,0,0,0,0,0,0
kairos,2019-08-08,17:30,1,0,0,0,0,0,0,0,0
kairos,2019-08-08,22:00,0,1,0,0,1,0,0,0,0
kairos,2019-08-09,7:15,0,1,1,0,0,0,0,0,0
kairos,2019-08-09,9:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-09,16:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-10,10:30,0,0,0,0,0,0,0,0,0
kairos,2019-08-10,11:00,0,0,0,0,0,0,0,0,0
kairos,2019-08-10,13:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-10,18:30,0,0,0,0,0,0,0,1,0
kairos,2019-08-10,20:00,0,0,0,0,0,0,500,0,0
kairos,2019-08-11,19:00,2,0,0,0,0,0,0,0,0
kairos,2019-08-11,9:00,0,0,0,0,0,0,0,0,0
kairos,2019-08-12,9:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-12,10:30,0,0,0,0,0,0,0,0,0
kairos,2019-08-13,9:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-13,18:00,0,0,0,0,0,0,0,0,0
kairos,2019-08-14,9:30,0,1,1,0,0,0,0,0,0
kairos,2019-08-14,13:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-15,9:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-15,12:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-15,18:00,0,1,0,0,1,0,0,0,0
kairos,2019-08-16,9:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-17,10:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-17,13:00,1,0,0,0,0,0,0,0,0
kairos,2019-08-18,12:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-18,9:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-18,12:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-18,22:00,0,0,0,0,0,0,0,0,0
kairos,2019-08-19,9:00,0,1,1,0,0,0,0,0,0
kairos,2019-08-20,9:00,0,0,1,1,0,0,0,0,0
kairos,2019-08-20,12:30,0,0,0,0,0,0,0,0,0
kairos,2019-08-20,19:00,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
